Anos,Cost
2015,200.0
2015,120.0
2015,56.5
2015,200.0
2015,56.5
2015,41.8
2015,31.0
2015,90.0
2015,29.0
2015,164.0
2015,123.0
2015,56.5
2015,56.5
2015,37.0
2015,90.0
2015,153.0
2015,56.5
2014,62.0
2014,145.0
2014,200.0
2014,350.0
2014,90.0
2014,29.0
2014,109.0
2014,80.0
2014,200.0
2014,31.0
2014,90.0
2014,56.5
2014,109.0
2014,200.0
2014,56.5
2014,109.0
2014,56.5
2014,109.0
2014,164.0
2014,56.5
2014,80.0
2014,41.8
2014,21.0
2014,29.0
2014,90.0
2014,41.8
2014,109.0
2014,164.0
2014,37.0
2014,56.5
2014,145.0
2014,31.0
2014,109.0
2014,200.0
2014,90.0
2014,164.0
2014,200.0
2014,109.0
2014,80.0
2014,56.5
2014,47.0
2013,41.8
2013,120.0
2013,56.5
2013,41.8
2013,29.0
2013,40.0
2013,109.0
2013,31.0
2013,56.5
2013,140.0
2013,80.0
2013,41.8
2013,55.0
2013,200.0
2013,350.0
2013,29.0
2013,112.5
2013,200.0
2013,153.0
2013,65.0
2013,31.0
2013,40.0
2013,109.0
2013,37.0
2013,80.0
2013,109.0
2013,59.5
2013,21.0
2013,109.0
2013,200.0
2013,109.0
2013,90.0
2013,41.8
2012,200.0
2012,120.0
2012,80.0
2012,200.0
2012,59.5
2012,164.0
2012,200.0
2012,109.0
2012,21.0
2012,109.0
2012,200.0
2012,41.8
2012,112.5
2012,200.0
2012,350.0
2012,109.0
2012,40.0
2012,59.5
2012,90.0
2012,200.0
2012,140.0
2012,31.0
2012,31.0
2012,153.0
2012,37.0
2011,80.0
2011,90.0
2011,145.0
2011,21.0
2011,46.0
2011,90.0
2011,200.0
2011,90.0
2011,29.0
2011,200.0
2011,153.0
2011,164.0
2011,31.0
2011,450.0
2011,40.0
2011,200.0
2011,450.0
2011,109.0
2011,200.0
2011,25.0
2011,115.0
2011,164.0
2011,120.0
2011,45.0
2011,450.0
2011,40.0
2011,41.8
2011,112.5
2011,350.0
2010,200.0
2010,47.0
2010,59.5
2010,200.0
2010,350.0
2010,46.0
2010,200.0
2010,46.0
2010,120.0
2010,41.8
2010,140.0
2010,200.0
2010,21.0
2010,200.0
2010,29.0
2010,29.0
2010,59.5
2010,41.8
2010,164.0
2010,200.0
2010,450.0
2010,90.0
2010,120.0
2010,47.0
2010,29.0
2010,450.0
2010,164.0
2010,109.0
2010,450.0
2009,90.0
2009,130.0
2009,450.0
2009,41.8
2009,200.0
2009,450.0
2009,109.0
2009,200.0
2009,21.0
2009,112.5
2009,109.0
2009,450.0
2009,200.0
2009,29.0
2009,450.0
2009,7.0
2009,41.8
2009,200.0
2009,164.0
2009,123.0
2009,40.0
2009,200.0
2009,450.0
2009,21.0
2009,123.0
2009,41.8
2009,450.0
2009,45.0
2009,200.0
2009,90.0
2009,350.0
2008,200.0
2008,450.0
2008,29.75
2008,29.75
2008,29.15
2008,64.68
2008,31.0
2008,40.0
2008,29.0
2008,7.0
2008,29.0
2008,200.0
2008,7.0
2008,200.0
2008,200.0
2008,450.0
2008,64.68
2008,41.8
2008,21.0
2008,20.14
2008,200.0
2008,40.0
2008,123.0
2008,115.0
2008,450.0
2008,90.0
2008,450.0
2008,21.0
2007,109.0
2007,200.0
2007,64.68
2007,350.0
2007,450.0
2007,123.0
2007,64.68
2007,47.0
2007,200.0
2007,450.0
2007,29.0
2007,109.0
2007,29.0
2007,450.0
2007,69.7
2007,29.75
2007,29.15
2007,200.0
2007,40.0
2007,40.0
2007,21.0
2007,29.0
2007,69.7
2007,30.8
2007,7.0
2007,200.0
2007,109.0
2007,69.7
2007,25.0
2006,40.0
2006,450.0
2006,200.0
2006,69.7
2006,133.0
2006,64.68
2006,200.0
2006,69.7
2006,90.0
2006,450.0
2006,30.8
2006,200.0
2006,41.8
2006,29.0
2006,29.0
2006,47.0
2006,450.0
2006,164.0
2006,200.0
2006,164.0
2006,64.68
2006,115.0
2006,40.0
2006,40.0
2006,7.0
2006,200.0
2006,153.0
2005,200.0
2005,41.8
2005,40.0
2005,29.75
2005,41.8
2005,29.0
2005,109.0
2005,30.8
2005,450.0
2005,29.75
2005,25.0
2005,40.0
2005,40.0
2005,130.0
2005,200.0
2004,350.0
2004,190.0
2004,135.0
2004,30.8
2004,48.5
2004,64.68
2004,69.7
2004,29.75
2004,47.0
2004,64.68
2004,30.8
2004,30.8
2004,190.0
2004,29.0
2004,45.0
2004,30.8
2004,190.0
2003,30.8
2003,69.7
2003,29.75
2003,41.8
2003,64.68
2003,35.0
2003,25.0
2003,133.0
2003,40.0
2003,135.0
2003,41.8
2003,40.0
2003,69.7
2003,109.0
2003,47.0
2003,40.0
2003,133.0
2003,40.0
2003,450.0
2003,35.0
2002,29.0
2002,90.0
2002,200.0
2002,450.0
2002,164.0
2002,64.68
2002,450.0
2002,25.0
2002,109.0
2002,35.0
2002,41.8
2002,450.0
2002,64.68
2002,450.0
2002,41.8
2002,450.0
2002,40.0
2001,450.0
2001,25.0
2001,45.0
2001,90.0
2001,450.0
2001,450.0
2001,450.0
2001,47.0
2001,450.0
2001,450.0
2000,69.7
2000,450.0
2000,69.7
2000,450.0
2000,40.0
2000,29.0
2000,35.0
2000,450.0
2000,40.0
2000,40.0
2000,450.0
2000,41.8
2000,45.0
2000,450.0
2000,40.0
2000,69.7
1999,45.0
1999,450.0
1999,35.0
1999,40.0
1999,64.68
1999,450.0
1999,35.0
1999,30.8
1999,25.0
1999,450.0
1999,40.0
1999,64.68
1999,29.0
1999,40.0
1998,30.8
1998,40.0
1998,450.0
1998,450.0
1998,40.0
1998,45.0
1998,40.0
1998,30.8
1998,40.0
1998,450.0
1998,35.0
1998,30.8
1998,450.0
1998,40.0
1998,30.8
1998,40.0
1998,45.0
1998,450.0
1997,40.0
1997,30.8
1997,450.0
1997,40.0
1997,25.0
1997,450.0
1997,30.8
1997,40.0
1997,450.0
1997,40.0
1997,450.0
1997,450.0
1997,69.7
1997,40.0
1997,450.0
1997,35.0
1997,450.0
1997,450.0
1996,450.0
1996,40.0
1996,29.75
1996,450.0
1996,40.0
1996,40.0
1996,450.0
1996,450.0
1996,40.0
1996,450.0
1996,25.0
1996,40.0
1996,450.0
1996,450.0
1995,450.0
1995,20.0
1995,450.0
1995,450.0
1995,450.0
1995,450.0
1995,40.0
1995,40.0
1995,450.0
1995,450.0
1994,69.7
1994,450.0
1994,25.0
1994,450.0
1994,450.0
1994,40.0
1994,450.0
1994,29.75
1994,40.0
1994,40.0
1994,450.0
1994,45.0
1994,450.0
1994,69.7
1994,450.0
1994,35.0
1993,450.0
1993,450.0
1993,30.8
1993,35.0
1993,25.0
1993,450.0
1993,450.0
1993,450.0
1993,40.0
1993,450.0
1993,40.0
1993,450.0
1992,450.0
1992,450.0
1992,30.8
1992,136.6
1992,450.0
1992,29.75
1992,450.0
1992,450.0
1992,450.0
1992,35.0
1992,450.0
1992,450.0
1991,450.0
1991,450.0
1991,450.0
1991,40.0
1991,450.0
1991,450.0
1991,450.0
1990,450.0
1990,450.0
1990,450.0
1990,30.8
1990,136.6
1990,450.0
1990,40.0
1990,136.6
1990,450.0
1990,450.0
1990,136.6
1989,450.0
1989,450.0
1989,35.0
1989,450.0
1989,450.0
1989,450.0
1988,450.0
1988,"5,000.0 "
1988,450.0
1988,35.0
1988,30.8
1987,30.8
1987,30.8
1987,"5,000.0 "
1986,30.8
1986,450.0
1986,450.0
1985,450.0
1985,450.0
1985,30.8
1985,450.0
1985,450.0
1985,450.0
1985,450.0
1985,450.0
1985,450.0
1985,450.0
1984,450.0
1984,450.0
1984,30.8
1984,450.0
1984,450.0
1984,450.0
1983,450.0
1983,450.0
1983,30.8
1983,450.0
1983,450.0
1982,450.0
1982,30.8
1982,450.0
1982,450.0
1981,450.0
1981,450.0
1973,"1,160.0 "
1972,"1,160.0 "
1972,"1,160.0 "
1971,"1,160.0 "
1971,"1,160.0 "
1970,"1,160.0 "
1969,"1,160.0 "
1969,"1,160.0 "
1969,59.0
1969,"1,160.0 "
1969,59.0
1969,59.0
1969,"1,160.0 "
1969,59.0
1968,"1,160.0 "
1968,59.0
1968,59.0
1968,59.0
1968,59.0
1968,59.0
1968,59.0
1968,"1,160.0 "
1968,59.0
1967,59.0
1967,59.0
1967,"1,160.0 "
1967,59.0
1967,59.0
"Wed Aug 16, 1967 17:02 UTC",59.0
"Tue Jun 20, 1967 16:19 UTC",59.0
"Wed Apr 26, 1967",59.0
"Fri Feb 24, 1967 19:55 UTC",59.0
"Wed Dec 14, 1966 18:14 UTC",59.0
"Wed Sep 28, 1966 19:12 UTC",59.0
"Fri Jul 29, 1966 18:43 UTC",59.0
"Thu May 06, 1965 15:00 UTC",63.23
"Thu Feb 11, 1965 15:19 UTC",63.23
"Thu Dec 10, 1964 16:52 UTC",63.23
"Tue Sep 01, 1964 15:00 UTC",63.23
